Ticker,Probability_Top_20
INTC,0.6935958
AMD,0.5028838
UPS,0.42434877
NFLX,0.34862173
MRK,0.31039244
UNH,0.3071932
JNJ,0.30042756
LOW,0.28483206
CAT,0.2795141
AMAT,0.27497682
RTX,0.27160537
NVDA,0.26564282
HD,0.2643871
GOOGL,0.23139387
BA,0.22855797
IBM,0.22669615
ADBE,0.21534948
PG,0.2055124
CRM,0.20424992
TXN,0.20413898
CSCO,0.19311754
MSFT,0.19148439
HON,0.18944663
COP,0.18765622
ORCL,0.18109562
GE,0.17956544
MMM,0.17824802
TMO,0.17625402
PEP,0.17444892
LLY,0.1637313
ABBV,0.1611684
COST,0.160997
KO,0.15942286
NOW,0.1587518
PFE,0.15820435
TSLA,0.15724328
AMZN,0.15590478
LMT,0.1529688
MCD,0.15030321
WMT,0.14567594
DE,0.14414841
JPM,0.1417905
AAPL,0.14010036
V,0.1350928
QCOM,0.13357116
CVX,0.1194075
MA,0.11451991
META,0.10533821
XOM,0.10087058
AVGO,0.098953605
