Ticker,Sector,Probability_Top_20,Latest_Date,Return_252d,Volatility_20d,Forward_PE,Revenue_Growth,Earnings_Growth,ROE
NFLX,Communication Services,0.6655170321464539,2026-06-09,-0.339734354232213,0.014086026675618818,21.33021,0.162,0.864,0.48494998
INTC,Technology,0.6562042236328125,2026-06-09,4.47756236274292,0.05051520320196415,71.408554,0.072,0.182,-0.02911
AVGO,Technology,0.5329656600952148,2026-06-09,0.602051613011739,0.04242903314846192,20.284195,0.479,0.854,0.37280998
NOW,Technology,0.5309529304504395,2026-06-09,-0.471369942863042,0.05755192353571222,21.674421,0.221,0.023,0.1607
XOM,Energy,0.4854713976383209,2026-06-09,0.4711683258351065,0.019401775568178636,13.965526,0.026,-0.434,0.09873
COP,Energy,0.4181636869907379,2026-06-09,0.37263085615919334,0.017130956267769448,12.60124,-0.053,-0.202,0.112840004
CVX,Energy,0.38511914014816284,2026-06-09,0.384445828762928,0.015937418688460117,14.817686,0.023,-0.445,0.06638
GE,Industrials,0.3647131323814392,2026-06-09,0.29304200642301437,0.02162405703680562,37.852318,0.247,-0.018,0.45428002
LLY,Healthcare,0.3016130328178406,2026-06-09,0.5120630867063773,0.019750823305470185,26.005215,0.555,1.699,1.07459
GOOGL,Communication Services,0.25686511397361755,2026-06-09,1.1204034265836604,0.01853250687585996,25.371342,0.218,0.82,0.38884997
