Feature,Importance
Earnings_Growth,0.19320387
Revenue_Growth,0.12557344
Debt_To_Equity,0.09567323
Forward_PE,0.07646482
ROE,0.052104097
Trailing_PE,0.051237002
Return_252d,0.04875375
Free_Cashflow,0.043792933
Market_Cap,0.041884527
Profit_Margins,0.03966048
MA50_vs_MA200,0.03584946
Volatility_20d,0.03527124
Return_60d,0.03235422
Relative_Strength_60d,0.028839763
MACD_Diff,0.025986634
Return_20d,0.02374338
Relative_Strength_20d,0.020728946
RSI,0.017105592
Return_5d,0.0066251555
Volume_Change,0.005147362
Price_To_Book,0.0
